clock_time,elapsed_time,carbon_source,od_600,date
10:11,0,glucose,0.042,2021-01-18
10:12,0,glucose_jonas,0.049,2021-01-18
10:34,22,glucose_jonas,0.064,2021-01-18
10:35,24,glucose,0.05,2021-01-18
10:52,41,glucose,0.061,2021-01-18
10:53,42,glucose_jonas,0.077,2021-01-18
11:09,58,glucose,0.07,2021-01-18
11:10,59,glucose_jonas,0.094,2021-01-18
11:27,76,glucose_jonas,0.115,2021-01-18
11:28,77,glucose,0.088,2021-01-18
11:46,94,glucose_jonas,0.144,2021-01-18
11:46,95,glucose,0.114,2021-01-18
11:58,106,glucose_jonas,0.167,2021-01-18
11:58,107,glucose,0.13,2021-01-18
12:11,119,glucose_jonas,0.199,2021-01-18
12:11,120,glucose,0.151,2021-01-18
12:22,130,glucose_jonas,0.23,2021-01-18
12:23,132,glucose,0.175,2021-01-18
12:34,142,glucose_jonas,0.263,2021-01-18
12:34,143,glucose,0.199,2021-01-18
12:55,163,glucose_jonas,0.343,2021-01-18
12:55,164,glucose,0.269,2021-01-18
13:07,175,glucose_jonas,0.389,2021-01-18
13:08,177,glucose,0.316,2021-01-18
13:19,187,glucose_jonas,0.445,2021-01-18
13:19,188,glucose,0.371,2021-01-18
13:31,200,glucose,0.422,2021-01-18
