clock_time,elapsed_time_min,media,od_600nm,carbon_source,tube_diam_mm,date,notes
17:39,0,Griffin,0.081,glucose,20,2021-01-26,
17:39,0,Roshali,0.045,glucose,20,2021-01-26,
17:39,0,Roshali N-C-,0.067,glucose,20,2021-01-26,
17:40,0,Roshali NH4,0.058,glucose,20,2021-01-26,
17:40,0,Roshali Glucose,0.051,glucose,20,2021-01-26,
17:41,0,Roshali H2O,0.051,glucose,20,2021-01-26,
17:41,0,Griffin + 2x Mg,0.057,glucose,20,2021-01-26,
17:55,12,Griffin,0.097,glucose,20,2021-01-26,
17:55,16,Roshali,0.048,glucose,20,2021-01-26,
17:56,17,Roshali N-C-,0.084,glucose,20,2021-01-26,
17:56,16,Roshali NH4,0.071,glucose,20,2021-01-26,
17:57,17,Roshali Glucose,0.064,glucose,20,2021-01-26,
17:57,16,Roshali H2O,0.063,glucose,20,2021-01-26,
17:57,16,Griffin + 2x Mg,0.071,glucose,20,2021-01-26,
18:07,24,Griffin,0.113,glucose,20,2021-01-26,
18:08,29,Roshali,0.052,glucose,20,2021-01-26,
18:08,29,Roshali N-C-,0.1,glucose,20,2021-01-26,
18:08,28,Roshali NH4,0.084,glucose,20,2021-01-26,
18:09,29,Roshali Glucose,0.072,glucose,20,2021-01-26,
18:09,28,Roshali H2O,0.075,glucose,20,2021-01-26,
18:10,29,Griffin + 2x Mg,0.084,glucose,20,2021-01-26,
18:19,36,Griffin,0.136,glucose,20,2021-01-26,
18:20,41,Roshali,0.053,glucose,20,2021-01-26,
18:20,41,Roshali N-C-,0.12,glucose,20,2021-01-26,
18:20,40,Roshali NH4,0.099,glucose,20,2021-01-26,
18:21,41,Roshali Glucose,0.085,glucose,20,2021-01-26,
18:21,40,Roshali H2O,0.088,glucose,20,2021-01-26,
18:22,41,Griffin + 2x Mg,0.101,glucose,20,2021-01-26,
18:32,49,Griffin,0.161,glucose,20,2021-01-26,
18:32,53,Roshali,0.057,glucose,20,2021-01-26,
18:33,54,Roshali N-C-,0.146,glucose,20,2021-01-26,
18:33,53,Roshali NH4,0.118,glucose,20,2021-01-26,
18:34,54,Roshali Glucose,0.101,glucose,20,2021-01-26,
18:34,53,Roshali H2O,0.106,glucose,20,2021-01-26,
18:35,54,Griffin + 2x Mg,0.127,glucose,20,2021-01-26,
18:45,62,Griffin,0.195,glucose,20,2021-01-26,
18:45,66,Roshali,0.062,glucose,20,2021-01-26,
18:46,67,Roshali N-C-,0.178,glucose,20,2021-01-26,
18:46,66,Roshali NH4,0.143,glucose,20,2021-01-26,
18:47,67,Roshali Glucose,0.121,glucose,20,2021-01-26,
18:47,66,Roshali H2O,0.126,glucose,20,2021-01-26,
18:48,67,Griffin + 2x Mg,0.152,glucose,20,2021-01-26,
18:57,78,Griffin,0.234,glucose,20,2021-01-26,
18:58,79,Roshali,0.063,glucose,20,2021-01-26,
18:58,79,Roshali N-C-,0.21,glucose,20,2021-01-26,
18:59,79,Roshali NH4,0.169,glucose,20,2021-01-26,
18:59,80,Roshali Glucose,0.142,glucose,20,2021-01-26,
19:00,79,Roshali H2O,0.145,glucose,20,2021-01-26,
19:00,79,Griffin + 2x Mg,0.177,glucose,20,2021-01-26,
19:10,91,Griffin,0.273,glucose,20,2021-01-26,
19:10,91,Roshali,0.066,glucose,20,2021-01-26,
19:11,92,Roshali N-C-,0.25,glucose,20,2021-01-26,
19:11,91,Roshali NH4,0.195,glucose,20,2021-01-26,
19:12,93,Roshali Glucose,0.17,glucose,20,2021-01-26,
19:12,91,Roshali H2O,0.177,glucose,20,2021-01-26,
19:13,92,Griffin + 2x Mg,0.214,glucose,20,2021-01-26,
19:24,105,Griffin,0.326,glucose,20,2021-01-26,
19:25,106,Roshali,0.075,glucose,20,2021-01-26,
19:25,106,Roshali N-C-,0.311,glucose,20,2021-01-26,
19:26,106,Roshali NH4,0.24,glucose,20,2021-01-26,
19:26,107,Roshali Glucose,0.206,glucose,20,2021-01-26,
19:26,105,Roshali H2O,0.211,glucose,20,2021-01-26,
19:27,106,Griffin + 2x Mg,0.258,glucose,20,2021-01-26,
19:37,118,Griffin,0.381,glucose,20,2021-01-26,
19:38,119,Roshali,0.072,glucose,20,2021-01-26,
19:38,119,Roshali N-C-,0.368,glucose,20,2021-01-26,
19:39,119,Roshali NH4,0.276,glucose,20,2021-01-26,
19:39,120,Roshali Glucose,0.241,glucose,20,2021-01-26,
19:40,119,Roshali H2O,0.252,glucose,20,2021-01-26,
19:40,119,Griffin + 2x Mg,0.312,glucose,20,2021-01-26,
19:50,131,Griffin,0.438,glucose,20,2021-01-26,
19:51,132,Roshali N-C-,0.428,glucose,20,2021-01-26,
19:51,131,Roshali NH4,0.317,glucose,20,2021-01-26,
19:52,133,Roshali Glucose,0.277,glucose,20,2021-01-26,
19:52,131,Roshali H2O,0.292,glucose,20,2021-01-26,
19:53,132,Griffin + 2x Mg,0.36,glucose,20,2021-01-26,
20:03,143,Roshali NH4,0.363,glucose,20,2021-01-26,
20:04,145,Roshali Glucose,0.32,glucose,20,2021-01-26,
20:04,143,Roshali H2O,0.331,glucose,20,2021-01-26,
20:05,144,Griffin + 2x Mg,0.406,glucose,20,2021-01-26,
20:18,158,Roshali NH4,0.414,glucose,20,2021-01-26,
20:18,159,Roshali Glucose,0.384,glucose,20,2021-01-26,
20:19,158,Roshali H2O,0.388,glucose,20,2021-01-26,
