clock_time,elapsed_time_hr,carbon_source,od_600
13:45,0.000,acetate,0.078
14:40,0.917,acetate,0.107
15:33,1.800,acetate,0.157
16:35,2.833,acetate,0.241
17:20,3.583,acetate,0.330
17:57,4.200,acetate,0.426
10:43,0.000,glucose,0.040
10:56,0.217,glucose,0.051
11:21,0.633,glucose,0.072
11:35,0.867,glucose,0.094
11:50,1.117,glucose,0.106
12:07,1.400,glucose,0.141
12:31,1.800,glucose,0.208
12:53,2.167,glucose,0.287
13:09,2.600,glucose,0.348
13:23,2.833,glucose,0.432
10:47,0.000,mannose,0.050
11:16,0.483,mannose,0.054
11:52,0.600,mannose,0.065
12:34,1.300,mannose,0.071
13:12,1.933,mannose,0.084
14:01,2.750,mannose,0.094
14:41,3.417,mannose,0.107
15:31,4.267,mannose,0.131
16:39,5.400,mannose,0.151
19:16,6.017,mannose,0.249
23:16,10.017,mannose,0.437
17:12,0.000,glycerol,0.062
17:41,0.483,glycerol,0.088
18:10,0.967,glycerol,0.127
18:41,1.483,glycerol,0.184
19:09,1.950,glycerol,0.257
19:49,2.617,glycerol,0.371
20:08,2.933,glycerol,0.438
